year,asthma_episode/attack_all_ages,asthma_episode/attack_asian,asthma_episode/attack_black,asthma_episode/attack_female,asthma_episode/attack_other,asthma_episode/attack_white,cervical_cancer_all_ages,cervical_cancer_asian,cervical_cancer_black,cervical_cancer_female,cervical_cancer_other,cervical_cancer_white,copd__emphysema__chronic_bronchitis_all_ages,copd__emphysema__chronic_bronchitis_asian,copd__emphysema__chronic_bronchitis_black,copd__emphysema__chronic_bronchitis_female,copd__emphysema__chronic_bronchitis_other,copd__emphysema__chronic_bronchitis_white,coronary_heart_disease_all_ages,coronary_heart_disease_asian,coronary_heart_disease_black,coronary_heart_disease_female,coronary_heart_disease_other,coronary_heart_disease_white,current_cigarette_smoking_all_ages,current_cigarette_smoking_asian,current_cigarette_smoking_black,current_cigarette_smoking_female,current_cigarette_smoking_other,current_cigarette_smoking_white,diagnosed_diabetes__self-reported_all_ages,diagnosed_diabetes__self-reported_asian,diagnosed_diabetes__self-reported_black,diagnosed_diabetes__self-reported_female,diagnosed_diabetes__self-reported_other,diagnosed_diabetes__self-reported_white,hypertension_diagnosis__self-reported_all_ages,hypertension_diagnosis__self-reported_asian,hypertension_diagnosis__self-reported_black,hypertension_diagnosis__self-reported_female,hypertension_diagnosis__self-reported_other,hypertension_diagnosis__self-reported_white,obesity__self-reported_all_ages,obesity__self-reported_asian,obesity__self-reported_black,obesity__self-reported_female,obesity__self-reported_other,obesity__self-reported_white,maternal_mortality_rate__age__25-39_years,maternal_mortality_rate__age__40_years_and_over,maternal_mortality_rate__age__under_25_years,"maternal_mortality_rate__race_and_hispanic_origin__american_indian_or_alaska_native,_non-hispanic","maternal_mortality_rate__race_and_hispanic_origin__asian,_non-hispanic","maternal_mortality_rate__race_and_hispanic_origin__black,_non-hispanic",maternal_mortality_rate__race_and_hispanic_origin__hispanic,"maternal_mortality_rate__race_and_hispanic_origin__native_hawaiian_or_other_pacific_islander,_non-hispanic","maternal_mortality_rate__race_and_hispanic_origin__white,_non-hispanic",maternal_mortality_rate__total__total,college_col_white,college_mkt_white,college_dif_white,college_col_hispa,college_mkt_hispa,college_dif_hispa,college_col_black,college_mkt_black,college_dif_black,college_col_asian,college_mkt_asian,college_dif_asian,college_col_amind,college_mkt_amind,college_dif_amind,college_col_pacis,college_mkt_pacis,college_dif_pacis,college_col_twora,college_mkt_twora,college_dif_twora,all_infant_deaths_all_mothers,all_infant_deaths_all_races__hispanic,all_infant_deaths_all_races__hispanic__central_and_south_american,all_infant_deaths_all_races__hispanic__cuban,all_infant_deaths_all_races__hispanic__mexican,all_infant_deaths_all_races__hispanic__other,all_infant_deaths_all_races__hispanic__puerto_rican,all_infant_deaths_american_indian_and_alaska_native,all_infant_deaths_american_indian_and_alaska_native__non-hispanic,all_infant_deaths_american_indian_and_alaska_native_only,all_infant_deaths_american_indian_and_alaska_native_only__non-hispanic,all_infant_deaths_asian_only__non-hispanic,all_infant_deaths_asian_or_pacific_islander,all_infant_deaths_asian_or_pacific_islander__non-hispanic,all_infant_deaths_black,all_infant_deaths_black__non-hispanic,all_infant_deaths_black_only,all_infant_deaths_black_only__non-hispanic,all_infant_deaths_native_hawaiian_or_other_pacific_islander_only__non-hispanic,all_infant_deaths_white,all_infant_deaths_white__non-hispanic,all_infant_deaths_white_only,all_infant_deaths_white_only__non-hispanic,neonatal_deaths_all_mothers,neonatal_deaths_all_races__hispanic,neonatal_deaths_all_races__hispanic__central_and_south_american,neonatal_deaths_all_races__hispanic__cuban,neonatal_deaths_all_races__hispanic__mexican,neonatal_deaths_all_races__hispanic__other,neonatal_deaths_all_races__hispanic__puerto_rican,neonatal_deaths_american_indian_and_alaska_native,neonatal_deaths_american_indian_and_alaska_native__non-hispanic,neonatal_deaths_american_indian_and_alaska_native_only,neonatal_deaths_american_indian_and_alaska_native_only__non-hispanic,neonatal_deaths_asian_only__non-hispanic,neonatal_deaths_asian_or_pacific_islander,neonatal_deaths_asian_or_pacific_islander__non-hispanic,neonatal_deaths_black,neonatal_deaths_black__non-hispanic,neonatal_deaths_black_only,neonatal_deaths_black_only__non-hispanic,neonatal_deaths_native_hawaiian_or_other_pacific_islander_only__non-hispanic,neonatal_deaths_white,neonatal_deaths_white__non-hispanic,neonatal_deaths_white_only,neonatal_deaths_white_only__non-hispanic,postneonatal_deaths_all_mothers,postneonatal_deaths_all_races__hispanic,postneonatal_deaths_all_races__hispanic__central_and_south_american,postneonatal_deaths_all_races__hispanic__cuban,postneonatal_deaths_all_races__hispanic__mexican,postneonatal_deaths_all_races__hispanic__other,postneonatal_deaths_all_races__hispanic__puerto_rican,postneonatal_deaths_american_indian_and_alaska_native,postneonatal_deaths_american_indian_and_alaska_native__non-hispanic,postneonatal_deaths_american_indian_and_alaska_native_only,postneonatal_deaths_american_indian_and_alaska_native_only__non-hispanic,postneonatal_deaths_asian_only__non-hispanic,postneonatal_deaths_asian_or_pacific_islander,postneonatal_deaths_asian_or_pacific_islander__non-hispanic,postneonatal_deaths_black,postneonatal_deaths_black__non-hispanic,postneonatal_deaths_black_only,postneonatal_deaths_black_only__non-hispanic,postneonatal_deaths_native_hawaiian_or_other_pacific_islander_only__non-hispanic,postneonatal_deaths_white,postneonatal_deaths_white__non-hispanic,postneonatal_deaths_white_only,postneonatal_deaths_white_only__non-hispanic,income_total,income_aian,income_api,income_asian,income_black,income_hispanic,income_nhopi,income_nhwhite,income_other,income_twomore,income_white
1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.9,9.5,8.5,7.5,9.1,10.6,12.9,15.2,,,,,8.3,,19.2,19.1,,,,9.3,9.2,,,7.1,6.2,5.8,5.0,5.9,6.4,8.7,7.5,,,,,5.2,,12.5,12.0,,,,6.1,5.9,,,3.8,3.3,2.6,2.5,3.2,4.2,4.2,7.7,,,,,3.1,,6.7,7.0,,,,3.2,3.2,,,,,,,,,,,,,
1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4,8.8,8.0,8.5,8.5,9.5,11.2,13.1,,,,,7.8,,18.6,18.3,,,,8.9,8.6,,,6.8,5.7,5.6,6.2,5.4,5.6,7.6,6.1,,,,,4.8,,12.3,11.9,,,,5.8,5.6,,,3.6,3.2,2.4,2.3,3.2,3.9,3.5,7.0,,,,,2.9,,6.3,6.4,,,,3.1,3.0,,,,,,,,,,,,,
1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.9,7.5,6.8,7.2,7.2,8.0,9.9,13.1,,,,,6.6,,16.9,16.9,,,,7.3,7.2,,,5.7,4.8,4.4,5.3,4.5,5.0,6.9,6.1,,,,,3.9,,11.1,11.0,,,,4.6,4.5,,,3.2,2.7,2.4,1.9,2.7,3.0,3.0,7.0,,,,,2.7,,5.9,5.9,,,,2.7,2.7,,,,,,,,,,,,,
1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6,6.3,5.5,5.3,6.0,7.4,8.9,9.0,,,,,5.3,,14.6,14.7,,,,6.3,6.3,,,4.9,4.1,3.7,3.6,3.9,4.8,6.1,4.0,,,,,3.4,,9.6,9.6,,,,4.1,4.0,,,2.6,2.1,1.9,1.7,2.1,2.6,2.8,5.1,,,,,1.9,,5.0,5.0,,,,2.2,2.2,,,,,,,,,,,,,
1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3,6.1,5.0,5.1,5.8,7.7,8.6,10.0,,,,,5.2,,14.1,14.2,,,,6.1,6.0,,,4.8,4.0,3.4,3.6,3.8,5.3,5.6,4.7,,,,,3.3,,9.4,9.4,,,,4.0,3.9,,,2.5,2.1,1.6,,2.1,2.5,3.0,5.2,,,,,1.8,,4.8,4.8,,,,2.1,2.1,,,,,,,,,,,,,
1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2,6.0,5.4,5.5,5.8,6.2,7.9,8.7,,,,,5.0,,13.7,13.7,,,,6.0,6.0,,,4.8,4.0,3.9,4.0,3.8,3.7,5.4,4.5,,,,,3.2,,9.2,9.2,,,,4.0,3.9,,,2.4,2.0,1.5,,2.0,2.5,2.5,4.2,,,,,1.8,,4.5,4.5,,,,2.1,2.1,,,,,,,,,,,,,
1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2,5.8,5.3,3.7,5.6,6.5,7.8,9.3,,,,,5.5,,13.8,13.9,,,,6.0,6.0,,,4.8,3.9,3.6,2.7,3.7,4.5,5.2,5.0,,,,,3.9,,9.4,9.4,,,,4.0,3.9,,,2.4,1.9,1.7,,1.9,2.0,2.6,4.4,,,,,1.7,,4.4,4.5,,,,2.0,2.0,,,,,,,,,,,,,
1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,5.7,4.7,4.6,5.5,7.2,8.3,9.3,9.4,,,,4.8,4.7,14.0,14.1,,,,5.8,5.8,,,4.7,3.9,3.3,3.5,3.7,4.8,5.9,5.0,4.9,,,,3.2,3.1,9.5,9.6,,,,3.9,3.8,,,2.3,1.8,1.4,,1.8,2.5,2.4,4.3,4.4,,,,1.7,1.6,4.5,4.6,,,,1.9,1.9,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9,5.6,4.6,4.6,5.4,6.9,8.2,8.3,8.2,,,,4.9,4.8,13.5,13.6,,,,5.7,5.7,,,4.6,3.8,3.3,3.2,3.6,4.6,5.8,4.4,4.2,,,,3.4,3.3,9.1,9.2,,,,3.8,3.8,,,2.3,1.8,1.4,,1.8,2.3,2.4,3.9,4.0,,,,1.4,1.4,4.3,4.4,,,,1.9,1.9,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8,5.4,5.0,4.2,5.2,6.0,8.5,9.7,9.7,,,,4.7,4.6,13.3,13.5,,,,5.7,5.7,,,4.5,3.6,3.4,2.5,3.5,3.9,6.0,4.2,4.1,,,,3.1,3.1,8.9,9.0,,,,3.8,3.8,,,2.3,1.8,1.6,1.7,1.7,2.1,2.5,5.4,5.6,,,,1.6,1.6,4.4,4.5,,,,1.9,1.9,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,5.6,5.1,3.7,5.4,7.1,8.2,8.6,8.7,,,,4.8,4.7,13.8,13.9,,,,5.8,5.8,,,4.7,3.8,3.5,3.2,3.6,5.1,5.8,4.6,4.7,,,,3.4,3.3,9.3,9.3,,,,3.9,3.9,,,2.3,1.8,1.6,,1.8,2.0,2.4,4.0,4.0,,,,1.4,1.4,4.5,4.6,,,,1.9,1.9,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8,5.6,5.0,4.6,5.5,6.7,8.2,8.7,8.7,,,,4.8,4.7,13.5,13.6,,,,5.7,5.7,,,4.6,3.9,3.6,3.4,3.8,4.7,5.7,4.5,4.4,,,,3.4,3.3,9.2,9.3,,,,3.9,3.8,,,2.2,1.7,1.4,,1.7,1.9,2.5,4.2,4.4,,,,1.4,1.4,4.3,4.3,,,,1.9,1.9,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8,5.5,4.6,4.6,5.5,6.7,7.8,8.4,8.6,,,,4.7,4.6,13.2,13.6,,,,5.7,5.7,,,4.5,3.8,3.4,2.8,3.7,4.7,5.3,4.3,4.3,,,,3.2,3.1,8.9,9.1,,,,3.8,3.7,,,2.3,1.7,1.2,1.7,1.7,2.0,2.5,4.2,4.4,,,,1.5,1.4,4.3,4.5,,,,1.9,2.0,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9,5.6,4.7,4.4,5.5,6.4,8.3,8.1,8.3,,,,4.9,4.8,13.3,13.6,,,,5.7,5.8,,,4.5,3.9,3.2,3.1,3.8,4.3,5.9,4.0,4.2,,,,3.4,3.3,8.9,9.1,,,,3.8,3.7,,,2.3,1.8,1.5,1.4,1.7,2.1,2.4,4.0,4.1,,,,1.5,1.5,4.3,4.5,,,,2.0,2.1,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7,5.4,4.5,5.1,5.3,5.8,8.0,8.3,8.6,,,,4.5,4.4,12.9,13.4,,,,5.6,5.6,,,4.5,3.7,3.1,3.6,3.7,3.7,5.4,4.3,4.4,,,,3.2,3.1,8.7,9.0,,,,3.7,3.6,,,2.2,1.7,1.4,1.4,1.6,2.1,2.6,4.0,4.2,,,,1.4,1.3,4.2,4.4,,,,1.9,1.9,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8,5.5,4.6,5.2,5.4,6.4,7.7,9.2,9.4,,,,4.8,4.6,12.9,13.3,,,,5.6,5.6,,,4.4,3.7,3.1,3.7,3.7,4.1,5.1,4.6,4.6,,,,3.4,3.2,8.5,8.7,,,,3.7,3.6,,,2.3,1.8,1.4,1.5,1.7,2.3,2.6,4.7,4.8,,,,1.4,1.4,4.4,4.6,,,,1.9,2.0,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6,5.6,4.8,4.9,5.6,5.9,7.3,8.4,8.7,,,,4.5,4.4,12.4,12.7,,,,5.6,5.5,,,4.3,3.8,3.2,3.3,3.8,3.8,5.0,4.2,4.1,,,,3.1,3.0,8.1,8.3,,,,3.6,3.5,,,2.3,1.8,1.6,1.6,1.8,2.1,2.3,4.2,4.6,,,,1.4,1.4,4.3,4.4,,,,2.0,2.0,,,,,,,,,,,,,
